name,number,position,year
"Able, Connor",49,LS,RS FR
"Achane, Devon",6,RB,JR
"Anderson, Bryce",1,SS,FR
"Bailey, James",79,OL,FR
"Bankhead, Josh",70,OG,RS SO
"Beltran, Drew",93,DL,SO
"Bhatia, Drake",94,PK,RS SO
"Boadi-Owusu, Nana",53,DL,FR
"Bond, Randy",47,PK,SO
"Bost, Blake",16,QB,SO
"Brasher, Jacob",23,WR,FR
"Brownlow-Dindy, Gabriel",99,DT,FR
"Chappell, Tyreek",7,CB,SO
"Choate, Connor",12,LS,SR
"Constantinou, Nik",95,PT,RS JR
"Cooper, Edgerrin",45,LB,RS SO
"Crownover, Dametrious",78,OT,RS FR
"Crownover, Earnest",24,FB,RS JR/TR
"Daniels, Amari",4,RB,SO
"Dewberry, Kam",75,OG,FR
"Diggs, Fadil",10,DE,RS SO
"DiNota, Anthony",25,RB,FR
"Erb, Hunter",55,OT,FR
"Fatheree II, Reuben",76,OT,SO
"Figueroa, Nathan",88,TE,FR
"Fitts, Jacob",90,OL,SO
"Fitzgerald, Kyle",81,DB,SR
"Foster, Bryce",61,OC,SO
"Garcia, Cade",39,DB,RS JR/TR
"Garza, Fernando",82,TE,RS FR
"Gilbert, Jardin",20,FS,SO
"Graham, Jacob",48,FB/LS,RS SO
"Green, Donovan",18,TE,FR
"Hancock, Levi",51,LS,FR
"Harmon, Deuce",11,CB,SO
"Harris Jr., Martrell",40,DE,FR
"Hughes, Avery",41,S,RS SO
"Jackson, Chance",63,OL,FR
"Jackson, Kenyon",16,WR,RS JR
"Jackson, McKinnley",35,DT,JR
"Jackson, Nathan",96,DL,RS FR
"Jebson, Owen",72,OL,RS FR
"Johnson, Antonio",27,S,JR
"Johnson, Jake",19,TE,FR
"Johnson, Jordan",98,DL,JR
"Johnson, Max",14,QB,JR/TR
"Jones, Jaylon",17,CB,JR
"Kerr, Jarred",33,S,FR
"Maleski, Andrew",31,WR,FR
"Mathews, Jacoby",14,S,FR
"Mathews, Sam",29,LB,SR
"McNamara, Tyndall",57,LB,FR
"Melin Öhrström, Theo",86,TE,FR
"Merrick, Andrew",52,LB,RS SO
"Moczulski, Ethan",22,PK,FR
"Moss, Le'Veon",22,RB,FR
"Muhammad III, Moose",7,WR,RS SO
"Nabou, Mark",54,OG,FR
"Nolen, Walter",88,DT,FR
"Novicke, Dallas",21,QB,FR
"Ogunbiyi, Aki",74,OG/OT,RS SO
"Oksnee, Jackson",27,QB,RS FR
"Overton, LT",18,DE,FR
"Overton, Micaiah",95,DT,RS JR/TR
"Pepin, Travis",97,DL,SR/TR
"Polk, Cody",94,DL,FR
"Preston, Jalen",5,WR,RS SR
"Raikes, Isaiah",34,DT,JR
"Reaves, Bladen",35,RB,RS JR
"Regis, Albert",15,DT,RS FR
"Richardson, Demani",26,SS,SR
"Robinson, Kent",42,DB,RS FR
"Robinson, Layden",64,OG,RS JR
"Rush, Jaxon",32,WR,FR
"Russell Jr., Chris",24,LB,SR
"Sabra, John",56,OL,JR
"Salz, Sam",39,RB,SO
"Shelling, Charles",33,RB,JR/TR
"Slanker, Jaxson",50,LB,FR
"Smith, Ainias",0,WR,SR
"Smoot, Will",38,CB,JR
"Spasojevic-Moko, Jordan",66,OG,RS SO/TR
"Steptoe, Keith",87,DB,SO
"Stewart, Evan",1,WR,FR
"Stewart, Shemar",4,DE,FR
"Strickland, Remington",68,OC,RS FR
"Surber, Caleb",28,WR,RS FR
"Sylla, Malick",92,DE,FR
"Taylor, Bobby",9,CB,FR
"Thomas, Noah",9,WR,FR
"Townsend, Garrett",50,LS,RS JR
"Tullos, Kason",51,LB,RS FR
"Turner, Pierce",81,WR,FR
"Turner, Shemar",5,DT,SO
"Vivaldi, Hunter",80,WR,FR
"Waddy, Jalen",54,LB,JR/TR
"Walsh, Kyle",28,DB,FR
"Weigman, Conner",15,QB,FR
"White, Enai",6,DE,FR
"Williams, Luke",57,OT,RS FR
"Wright, Max",42,TE,SR
"Wykoff, Matthew",77,OC,RS FR
"Zettler, Alex",43,S,RS SR
"Zuhn III, Trey",60,OT,RS FR
