player_id,route_name,play_name,timestamp_start,timestamp_end,success,practice_id,date
95,dig,dig1,7869995,7871240,1,10,01/26/2023
102,out,out1,7237950,7245500,1,5,01/31/2023
58,out,out2,4295497,4302247,1,5,02/07/2023
83,dig,dig2,3900666,3908137,1,2,01/07/2023
59,slant,slant3,2301189,2305646,1,9,01/28/2023
11,curl,curl3,9785127,9786997,1,6,01/01/2023
49,curl,curl4,6160185,6164495,1,4,01/15/2023
83,dig,dig3,8052855,8052883,0,4,01/08/2023
6,comeback,comeback2,2862473,2868593,0,5,01/11/2023
35,corner,corner5,2495705,2500537,0,10,01/03/2023
41,out,out5,1238071,1238635,1,10,02/17/2023
80,dig,dig3,40712,45274,1,10,02/18/2023
62,corner,corner3,1551530,1553603,0,5,01/25/2023
97,slant,slant5,4500494,4501220,1,7,02/04/2023
19,dig,dig1,10185748,10192052,0,6,01/14/2023
36,corner,corner2,7729360,7729737,0,3,02/11/2023
42,out,out1,277257,280725,1,1,02/02/2023
102,out,out5,8581012,8582573,1,4,02/15/2023
6,post,post4,2443353,2446046,0,7,02/22/2023
45,out,out4,2903565,2907208,0,4,01/24/2023
61,post,post3,6762770,6769363,0,10,01/08/2023
68,slant,slant5,299658,300983,0,9,01/05/2023
51,flat,flat4,5567673,5570288,0,8,02/04/2023
8,flat,flat4,6581022,6582975,0,6,01/06/2023
47,comeback,comeback3,7252538,7254888,0,6,01/14/2023
58,out,out4,7470695,7478516,1,3,02/20/2023
62,out,out3,3939247,3942094,1,7,02/21/2023
97,post,post4,9455236,9460153,1,7,02/14/2023
54,post,post3,10217715,10221943,1,3,01/23/2023
9,dig,dig5,5697716,5704460,0,5,02/17/2023
36,curl,curl1,4188212,4189185,0,8,01/01/2023
65,corner,corner4,6644161,6645667,1,4,01/22/2023
9,post,post4,6292488,6300075,0,10,01/28/2023
77,flat,flat4,8647942,8649056,1,7,01/23/2023
25,slant,slant5,9305254,9308922,1,5,01/16/2023
30,post,post5,1306098,1309218,0,10,02/15/2023
84,flat,flat5,5988003,5993351,1,3,01/16/2023
51,corner,corner4,1759269,1765564,1,5,01/28/2023
23,dig,dig2,10603533,10610306,0,10,02/27/2023
23,dig,dig5,841534,844403,0,1,01/07/2023
82,slant,slant3,8345501,8349029,1,4,02/27/2023
64,post,post3,6835738,6841892,1,9,02/09/2023
97,corner,corner5,751860,752227,1,2,02/07/2023
54,out,out1,9419074,9426941,0,10,01/03/2023
28,flat,flat2,3003430,3003987,0,8,01/09/2023
46,dig,dig4,3749641,3756050,1,1,01/18/2023
5,post,post5,576787,581175,0,6,01/23/2023
8,comeback,comeback3,1740094,1741326,0,8,02/24/2023
79,out,out1,5863144,5866577,1,1,02/16/2023
103,comeback,comeback2,1389070,1395230,1,2,01/11/2023
6,curl,curl4,1913312,1915851,0,8,01/19/2023
13,slant,slant4,6438908,6439160,0,1,02/10/2023
67,slant,slant5,6555428,6556285,1,8,01/30/2023
33,flat,flat1,6919024,6922893,1,9,02/18/2023
50,curl,curl1,9167378,9170742,0,3,01/04/2023
102,out,out5,1620957,1624868,1,10,02/24/2023
49,slant,slant3,5278696,5278737,0,8,01/04/2023
82,dig,dig3,2262185,2265798,1,8,01/09/2023
59,curl,curl2,10442684,10446041,1,2,02/11/2023
29,corner,corner1,2219063,2219630,0,1,01/02/2023
42,curl,curl4,841769,847668,1,7,02/09/2023
54,post,post1,7151910,7156161,1,7,02/10/2023
10,post,post5,8880502,8885404,0,6,01/11/2023
11,post,post3,8184103,8187039,1,6,01/31/2023
28,comeback,comeback2,3245285,3245664,1,3,02/10/2023
42,post,post3,5533672,5535395,1,4,01/14/2023
69,slant,slant3,779935,784362,1,10,01/07/2023
25,comeback,comeback4,5796920,5803574,1,3,02/23/2023
66,slant,slant5,6030286,6032983,0,3,02/24/2023
82,flat,flat2,9625906,9629958,1,1,02/14/2023
28,comeback,comeback1,4591644,4594230,0,6,01/09/2023
38,slant,slant4,10646599,10651729,0,7,01/08/2023
12,dig,dig2,1177114,1179557,0,7,02/01/2023
28,corner,corner4,4727400,4733644,1,8,02/28/2023
58,comeback,comeback5,3607992,3615016,1,6,01/03/2023
22,comeback,comeback1,10719484,10723542,0,6,02/25/2023
93,corner,corner1,4743409,4747444,1,10,01/02/2023
4,slant,slant2,5950540,5953282,0,6,01/08/2023
29,comeback,comeback2,7551873,7559287,0,4,01/07/2023
26,slant,slant2,9351400,9358558,0,10,01/09/2023
48,flat,flat4,10001840,10008203,0,10,01/23/2023
89,dig,dig5,7033501,7038914,0,4,02/10/2023
52,post,post1,3065075,3065593,0,5,02/09/2023
98,comeback,comeback1,2587024,2591705,1,9,02/28/2023
47,post,post4,8486299,8491426,1,3,01/21/2023
14,flat,flat4,8910954,8913196,0,6,01/11/2023
39,dig,dig2,5189293,5190039,0,7,01/08/2023
95,out,out4,6646518,6654201,1,5,02/02/2023
104,slant,slant4,4404107,4407745,1,8,02/06/2023
22,dig,dig3,7736335,7740188,0,7,01/24/2023
63,flat,flat1,4592995,4594792,0,10,02/12/2023
66,curl,curl4,5509168,5516747,0,6,02/07/2023
3,out,out2,3198160,3205565,0,10,01/07/2023
78,out,out2,4669797,4676439,1,5,02/23/2023
63,flat,flat1,1488260,1488293,1,6,01/31/2023
9,flat,flat4,7291172,7294222,0,1,01/25/2023
71,out,out2,9125898,9128100,1,3,02/14/2023
45,slant,slant2,8092496,8099758,1,1,01/16/2023
73,out,out5,5043692,5048038,1,8,02/19/2023
16,post,post4,9685784,9687359,0,4,01/31/2023
70,comeback,comeback5,10668443,10669570,1,3,01/31/2023
85,comeback,comeback3,3234336,3237472,0,1,02/22/2023
56,corner,corner2,1261374,1263228,0,2,02/21/2023
65,flat,flat3,7554234,7560439,0,10,02/19/2023
1,out,out5,830129,837431,0,9,02/10/2023
14,curl,curl1,1586724,1593523,0,10,01/31/2023
